Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1962-01-02,50.88,50.88,50.0,50.0,5797.5308641975,0.0,1.0,0.48847039903648,0.48847039903648,0.48002201163176,0.48002201163176,352200.0
1962-01-03,50.75,51.75,50.75,51.0,11693.827160494,0.0,1.0,0.48722234180624,0.49682278203887,0.48722234180624,0.48962245186439,710400.00000001
1962-01-04,51.0,51.88,50.5,50.5,14995.884773663,0.0,1.0,0.48962245186439,0.49807083926911,0.48482223174808,0.48482223174808,911000.00000003
1962-01-05,50.5,50.75,48.12,49.5,14492.181069959,0.0,1.0,0.48482223174808,0.48722234180624,0.4619731839944,0.47522179151544,880400.00000001
1962-01-08,49.5,50.38,48.88,49.62,7795.8847736626,0.0,1.0,0.47522179151544,0.48367017892016,0.46926951857121,0.47637384434336,473600.0
1962-01-09,49.62,50.88,49.25,49.75,9494.6502057613,0.0,1.0,0.47637384434336,0.48847039903648,0.47282168145728,0.4776219015736,576800.0
1962-01-10,49.75,50.62,49.62,49.75,5797.5308641975,0.0,1.0,0.4776219015736,0.48597428457599,0.47637384434336,0.4776219015736,352200.0
1962-01-11,49.88,51.38,49.88,50.25,11397.530864198,0.0,1.0,0.47886995880384,0.4932706191528,0.47886995880384,0.48242212168992,692400.00000003
1962-01-12,50.75,52.0,50.75,51.62,16000.0,0.0,1.0,0.48722234180624,0.49922289209703,0.48722234180624,0.49557472480863,972000.0
1962-01-15,51.38,51.38,50.38,50.62,10294.650205761,0.0,1.0,0.4932706191528,0.4932706191528,0.48367017892016,0.48597428457599,625399.99999998
1962-01-16,50.62,50.88,50.25,50.25,6195.8847736626,0.0,1.0,0.48597428457599,0.48847039903648,0.48242212168992,0.48242212168992,376400.0
1962-01-17,50.25,51.38,50.25,50.38,11094.650205761,0.0,1.0,0.48242212168992,0.4932706191528,0.48242212168992,0.48367017892016,673999.99999998
