Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1970-01-02,51.12,52.25,51.12,52.25,131600.0,0.0,1.0,4.3338361905728,4.4296349952549,4.3338361905728,4.4296349952549,526400.0
1970-01-05,52.25,52.88,52.12,52.5,280400.0,0.0,1.0,4.4296349952549,4.4830449483077,4.4186138938313,4.4508294210695,1121600.0
1970-01-06,52.5,52.75,51.5,51.75,138400.0,0.0,1.0,4.4508294210695,4.4720238468841,4.3660517178111,4.3872461436257,553600.0
1970-01-07,51.75,51.88,51.12,51.62,112800.0,0.0,1.0,4.3872461436257,4.3982672450493,4.3338361905728,4.3762250422021,451200.0
1970-01-08,52.25,53.0,52.25,52.62,158800.0,0.0,1.0,4.4296349952549,4.4932182726988,4.4296349952549,4.4610027454605,635200.0
1970-01-09,52.62,52.75,52.38,52.75,128800.0,0.0,1.0,4.4610027454605,4.4720238468841,4.4406560966785,4.4720238468841,515200.0
1970-01-12,52.75,53.12,52.0,52.38,83600.0,0.0,1.0,4.4720238468841,4.5033915970898,4.4084405694403,4.4406560966785,334400.0
1970-01-13,52.38,52.38,51.5,51.62,93200.0,0.0,1.0,4.4406560966785,4.4406560966785,4.3660517178111,4.3762250422021,372800.0
1970-01-14,51.62,51.62,49.62,50.0,281200.0,0.0,1.0,4.3762250422021,4.3762250422021,4.2066696356851,4.2388851629234,1124800.0
1970-01-15,50.0,50.25,49.62,49.88,84000.0,0.0,1.0,4.2388851629234,4.260079588738,4.2066696356851,4.2287118385323,336000.0
1970-01-16,49.88,50.0,49.38,49.88,106400.0,0.0,1.0,4.2287118385323,4.2388851629234,4.1863229869031,4.2287118385323,425600.0
1970-01-19,49.88,49.88,49.38,49.75,127200.0,0.0,1.0,4.2287118385323,4.2287118385323,4.1863229869031,4.2176907371087,508800.0
1970-01-20,49.75,49.75,49.12,49.25,147200.0,0.0,1.0,4.2176907371087,4.2176907371087,4.1642807840559,4.1753018854795,588800.0
1970-01-21,49.25,49.38,48.75,48.88,113600.0,0.0,1.0,4.1753018854795,4.1863229869031,4.1329130338503,4.1439341352739,454400.0
1970-01-22,48.88,49.5,48.5,49.0,160000.0,0.0,1.0,4.1439341352739,4.1964963112941,4.1117186080357,4.1541074596649,640000.0
1970-01-23,49.0,49.0,48.5,48.75,106800.0,0.0,1.0,4.1541074596649,4.1541074596649,4.1117186080357,4.1329130338503,427200.0
1970-01-26,48.75,48.75,47.62,48.38,183200.0,0.0,1.0,4.1329130338503,4.1329130338503,4.0371142291682,4.1015452836446,732800.0
1970-01-27,48.25,48.25,47.12,48.25,135200.0,0.0,1.0,4.090524182221,4.090524182221,3.994725377539,4.090524182221,540800.0
1970-01-28,48.25,48.5,46.62,46.62,124800.0,0.0,1.0,4.090524182221,4.1117186080357,3.9523365259097,3.9523365259097,499200.0
1970-01-29,46.62,47.0,46.0,46.5,174000.0,0.0,1.0,3.9523365259097,3.984552053148,3.8997743498895,3.9421632015187,696000.0
1970-01-30,46.5,47.0,45.75,46.12,204400.0,0.0,1.0,3.9421632015187,3.984552053148,3.8785799240749,3.9099476742805,817600.0
1970-02-02,46.12,46.5,45.75,46.0,234400.0,0.0,1.0,3.9099476742805,3.9421632015187,3.8785799240749,3.8997743498895,937600.0
1970-02-03,46.0,46.12,45.5,45.62,492800.0,0.0,1.0,3.8997743498895,3.9099476742805,3.8573854982603,3.8675588226513,1971200.0
1970-02-04,45.62,46.12,45.62,46.0,133600.0,0.0,1.0,3.8675588226513,3.9099476742805,3.8675588226513,3.8997743498895,534400.0
1970-02-05,46.0,46.0,45.62,46.0,84400.0,0.0,1.0,3.8997743498895,3.8997743498895,3.8675588226513,3.8997743498895,337600.0
1970-02-06,46.0,46.0,45.62,45.75,68000.0,0.0,1.0,3.8997743498895,3.8997743498895,3.8675588226513,3.8785799240749,272000.0
1970-02-09,45.75,46.0,45.62,45.62,139600.0,0.0,1.0,3.8785799240749,3.8997743498895,3.8675588226513,3.8675588226513,558400.0
1970-02-10,45.62,45.88,43.25,43.25,249200.0,0.0,1.0,3.8675588226513,3.8896010254985,3.6666356659287,3.6666356659287,996800.0
1970-02-11,43.25,44.25,42.25,44.25,219600.0,0.0,1.0,3.6666356659287,3.7514133691872,3.5818579626702,3.7514133691872,878400.0
1970-02-12,44.25,44.75,42.75,43.25,204000.0,0.0,1.0,3.7514133691872,3.7938022208164,3.6242468142995,3.6666356659287,816000.0
1970-02-13,43.25,44.12,42.62,43.5,123200.0,0.0,1.0,3.6666356659287,3.7403922677636,3.6132257128759,3.6878300917433,492800.0
1970-02-16,43.5,44.0,43.12,44.0,122000.0,0.0,1.0,3.6878300917433,3.7302189433725,3.6556145645051,3.7302189433725,488000.0
1970-02-17,44.0,44.12,43.38,43.75,112800.0,0.0,1.0,3.7302189433725,3.7403922677636,3.6776567673523,3.7090245175579,451200.0
1970-02-18,44.0,45.0,44.0,44.88,257200.0,0.0,1.0,3.7302189433725,3.814996646631,3.7302189433725,3.80482332224,1028800.0
1970-02-19,45.0,45.75,45.0,45.38,206000.0,0.0,1.0,3.814996646631,3.8785799240749,3.814996646631,3.8472121738692,824000.0
1970-02-20,45.38,46.0,45.38,46.0,291600.0,0.0,1.0,3.8472121738692,3.8997743498895,3.8472121738692,3.8997743498895,1166400.0
1970-02-24,46.0,46.0,45.62,46.0,260800.0,0.0,1.0,3.8997743498895,3.8997743498895,3.8675588226513,3.8997743498895,1043200.0
1970-02-25,46.25,47.5,46.25,47.5,148400.0,0.0,1.0,3.9209687757041,4.0269409047772,3.9209687757041,4.0269409047772,593600.0
1970-02-26,47.5,48.38,47.38,48.0,215600.0,0.0,1.0,4.0269409047772,4.1015452836446,4.0167675803862,4.0693297564064,862400.0
1970-02-27,48.0,48.5,47.5,47.5,311600.0,0.0,1.0,4.0693297564064,4.1117186080357,4.0269409047772,4.0269409047772,1246400.0
1970-03-02,47.5,47.5,46.25,46.62,129600.0,0.0,1.0,4.0269409047772,4.0269409047772,3.9209687757041,3.9523365259097,518400.0
1970-03-03,46.62,47.0,45.62,46.38,136000.0,0.0,1.0,3.9523365259097,3.984552053148,3.8675588226513,3.9319898771277,544000.0
1970-03-04,46.38,46.88,45.88,46.0,105600.0,0.0,1.0,3.9319898771277,3.9743787287569,3.8896010254985,3.8997743498895,422400.0
1970-03-05,45.88,45.88,45.38,45.75,171200.0,0.0,1.0,3.8896010254985,3.8896010254985,3.8472121738692,3.8785799240749,684800.0
1970-03-06,45.75,46.12,45.5,46.12,120400.0,0.0,1.0,3.8785799240749,3.9099476742805,3.8573854982603,3.9099476742805,481600.0
1970-03-09,46.12,46.75,45.5,45.88,131200.0,0.0,1.0,3.9099476742805,3.9633576273333,3.8573854982603,3.8896010254985,524800.0
1970-03-10,45.88,46.38,45.62,46.12,107600.0,0.0,1.0,3.8896010254985,3.9319898771277,3.8675588226513,3.9099476742805,430400.0
1970-03-11,46.12,46.38,46.0,46.12,210800.0,0.0,1.0,3.9099476742805,3.9319898771277,3.8997743498895,3.9099476742805,843200.0
1970-03-12,46.12,46.12,45.62,45.88,134800.0,0.0,1.0,3.9099476742805,3.9099476742805,3.8675588226513,3.8896010254985,539200.0
1970-03-13,45.88,45.88,44.75,45.25,172000.0,0.0,1.0,3.8896010254985,3.8896010254985,3.7938022208164,3.8361910724456,688000.0
1970-03-16,44.88,44.88,43.25,44.88,183200.0,0.0,1.0,3.80482332224,3.80482332224,3.6666356659287,3.80482332224,732800.0
1970-03-17,44.88,45.12,44.25,44.88,141200.0,0.0,1.0,3.80482332224,3.825169971022,3.7514133691872,3.80482332224,564800.0
1970-03-18,44.88,45.75,44.62,45.25,109200.0,0.0,1.0,3.80482332224,3.8785799240749,3.7827811193928,3.8361910724456,436800.0
1970-03-19,45.25,45.25,44.12,44.12,206800.0,0.0,1.0,3.8361910724456,3.8361910724456,3.7403922677636,3.7403922677636,827200.0
1970-03-20,44.12,44.25,43.75,44.25,93200.0,0.0,1.0,3.7403922677636,3.7514133691872,3.7090245175579,3.7514133691872,372800.0
1970-03-23,44.0,44.0,43.38,43.75,134800.0,0.0,1.0,3.7302189433725,3.7302189433725,3.6776567673523,3.7090245175579,539200.0
1970-03-24,43.75,44.5,43.5,44.12,88800.0,0.0,1.0,3.7090245175579,3.7726077950018,3.6878300917433,3.7403922677636,355200.0
1970-03-25,44.38,45.88,44.38,45.0,246800.0,0.0,1.0,3.7624344706108,3.8896010254985,3.7624344706108,3.814996646631,987200.0
1970-03-26,44.88,44.88,43.5,44.0,411200.0,0.0,1.0,3.80482332224,3.80482332224,3.6878300917433,3.7302189433725,1644800.0
1970-03-30,44.0,44.0,43.62,43.88,157200.0,0.0,1.0,3.7302189433725,3.7302189433725,3.6980034161343,3.7200456189815,628800.0
1970-03-31,43.88,44.62,43.75,44.5,144800.0,0.0,1.0,3.7200456189815,3.7827811193928,3.7090245175579,3.7726077950018,579200.0
1970-04-01,44.5,45.38,44.5,45.38,257200.0,0.0,1.0,3.7726077950018,3.8472121738692,3.7726077950018,3.8472121738692,1028800.0
1970-04-02,45.38,45.38,44.12,44.5,287600.0,0.0,1.0,3.8472121738692,3.8472121738692,3.7403922677636,3.7726077950018,1150400.0
1970-04-03,44.5,45.0,44.25,45.0,112400.0,0.0,1.0,3.7726077950018,3.814996646631,3.7514133691872,3.814996646631,449600.0
1970-04-06,45.0,45.25,44.62,45.12,96000.0,0.0,1.0,3.814996646631,3.8361910724456,3.7827811193928,3.825169971022,384000.0
1970-04-07,45.12,45.12,44.5,44.5,105600.0,0.0,1.0,3.825169971022,3.825169971022,3.7726077950018,3.7726077950018,422400.0
